Dia;Nacimientos
01/01/2019;35
02/01/2019;32
03/01/2019;30
04/01/2019;31
05/01/2019;44
06/01/2019;29
07/01/2019;45
08/01/2019;43
09/01/2019;38
10/01/2019;27
11/01/2019;38
12/01/2019;33
13/01/2019;55
14/01/2019;47
15/01/2019;45
16/01/2019;37
17/01/2019;50
18/01/2019;43
19/01/2019;41
20/01/2019;52
21/01/2019;34
22/01/2019;53
23/01/2019;39
24/01/2019;32
25/01/2019;37
26/01/2019;43
27/01/2019;39
28/01/2019;35
29/01/2019;44
30/01/2019;38
31/01/2019;24
01/02/2019;23
02/02/2019;31
03/02/2019;44
04/02/2019;38
05/02/2019;50
06/02/2019;38
07/02/2019;51
08/02/2019;31
09/02/2019;31
10/02/2019;51
11/02/2019;36
12/02/2019;45
13/02/2019;51
14/02/2019;34
15/02/2019;52
16/02/2019;47
17/02/2019;45
18/02/2019;46
19/02/2019;39
20/02/2019;48
21/02/2019;37
22/02/2019;35
23/02/2019;52
24/02/2019;42
25/02/2019;45
26/02/2019;39
27/02/2019;37
28/02/2019;30
01/03/2019;35
02/03/2019;28
03/03/2019;45
04/03/2019;34
05/03/2019;36
06/03/2019;50
07/03/2019;44
08/03/2019;39
09/03/2019;32
10/03/2019;39
11/03/2019;45
12/03/2019;43
13/03/2019;39
14/03/2019;31
15/03/2019;27
16/03/2019;30
17/03/2019;42
18/03/2019;46
19/03/2019;41
20/03/2019;36
21/03/2019;45
22/03/2019;46
23/03/2019;43
24/03/2019;38
25/03/2019;34
26/03/2019;35
27/03/2019;56
28/03/2019;36
29/03/2019;32
30/03/2019;50
31/03/2019;41
01/04/2019;39
02/04/2019;41
03/04/2019;47
04/04/2019;34
05/04/2019;36
06/04/2019;33
07/04/2019;35
08/04/2019;38
09/04/2019;38
10/04/2019;34
11/04/2019;53
12/04/2019;34
13/04/2019;34
14/04/2019;38
15/04/2019;35
16/04/2019;32
17/04/2019;42
18/04/2019;34
19/04/2019;46
20/04/2019;30
21/04/2019;46
22/04/2019;45
23/04/2019;54
24/04/2019;34
25/04/2019;37
26/04/2019;35
27/04/2019;40
28/04/2019;42
29/04/2019;58
30/04/2019;51
01/05/2019;32
02/05/2019;35
03/05/2019;38
04/05/2019;33
05/05/2019;39
06/05/2019;47
07/05/2019;38
08/05/2019;52
09/05/2019;30
10/05/2019;34
11/05/2019;40
