Mes;Ventas
01-jan-2017;266.0
01-feb-2017;145.9
01-mar-2017;183.1
01-apr-2017;119.3
01-may-2017;180.3
01-jun-2017;168.5
01-jul-2017;231.8
01-aug-2017;224.5
01-sep-2017;192.8
01-oct-2017;122.9
01-nov-2017;336.5
01-dec-2017;185.9
01-jan-2018;194.3
01-feb-2018;149.5
01-mar-2018;210.1
01-apr-2018;273.3
01-may-2018;191.4
01-jun-2018;287.0
01-jul-2018;226.0
01-aug-2018;303.6
01-sep-2018;289.9
01-oct-2018;421.6
01-nov-2018;264.5
01-dec-2018;342.3
01-jan-2019;339.7
01-feb-2019;440.4
01-mar-2019;315.9
01-apr-2019;439.3
01-may-2019;401.3
01-jun-2019;437.4
01-jul-2019;575.5
01-aug-2019;407.6
01-sep-2019;682.0
01-oct-2019;475.3
01-nov-2019;581.3
01-dec-2019;646.9
